1,Parcel,Meeting with Big e-Commerce Customers,20.07.2026,"SSPOs Gurgaon need to meet with Amazon Nodal Officer on 08.08.2026 and submit compliance to Circle Office about the meeting outcome.

Further, SSPOs Gurgaon to submit updates on articles provided by Decathlon and Quickship daily upto 10.08.2026 and see if any increment is noticed in business given by Decathlon and Quickship. 

",SSPOs Gurgaon,10.08.2026,{}
2,Parcel,On-boarding of customers,20.07.2026,"Divisionwise Target has been allotted to Divisions as well as Marketing Executives. 

Target for onboarding of customers

Parcel Customers onboarded

Mail Operation Customers onboarded

International Mail Customers onboarded",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1xQaysoLjDIqNa5X_QnvA5FWp7J6lMr5r6lzLGalm-y8/edit#gid=1841689369"",""text"":""Target for onboarding of customers""},{""url"":""https://docs.google.com/spreadsheets/d/1xQaysoLjDIqNa5X_QnvA5FWp7J6lMr5r6lzLGalm-y8/edit#gid=1458750732"",""text"":""Parcel Customers onboarded""},{""url"":""https://docs.google.com/spreadsheets/d/1xQaysoLjDIqNa5X_QnvA5FWp7J6lMr5r6lzLGalm-y8/edit#gid=2134214363"",""text"":""Mail Operation Customers onboarded""},{""url"":""https://docs.google.com/spreadsheets/d/1xQaysoLjDIqNa5X_QnvA5FWp7J6lMr5r6lzLGalm-y8/edit#gid=651438657"",""text"":""International Mail Customers onboarded""}]}"
3,Parcel,BO performance,20.07.2026,"All divisional heads to ensure there are no Nil transaction BOs in Parcel. Further, all divisional heads to ensure to provide weighing scales of upto 20kgs to all the BOs.
The monthly target for parcel booking in each BO is 5.

Nil Parcel Booking BOs in July 2026",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=1292693438#gid=1292693438"",""text"":""Nil Parcel Booking BOs in July 2026""}]}"
4,IR/GB,SO performance,20.07.2026,"All divisional heads to ensure there is atleast 3 International Mail article booked in each of the SO.

Nil International Mail Booking in July 2026",All Divisional Heads,15.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=1878987340#gid=1878987340"",""text"":""Nil International Mail Booking in July 2026""}]}"
5,IR/GB,Authorization of BOs for International Mail Booking,21.07.2026,"All divisional heads to ensure BOs are to be identified and authorized for booking of International Mail in following manner in the second phase by 31.08.2026:-
i. Ambala , Hisar, karnal- 85BOs
ii, Kurukshetra- 80 Bos, 
iii, Gurgaon, Rohtak, Bhiwani - 75 BOs
iv. Faridabad- 45 BOs
v. Sonipat- 40 BOs.
Further, Divisional Heads to ensure that training of staff working in these BOs so identified be completed by 31.08.2026. Also, weighing scales are to provided to all the identified BOs.
",All Divisional Heads,31.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=1878987340#gid=1878987340"",""text"":""All divisional heads to ensure BOs are to be identified and authorized for booking of International Mail in following manner in the second phase by 31.08.2026:-\ni. Ambala , Hisar, karnal- 85BOs\nii, Kurukshetra- 80 Bos, \niii, Gurgaon, Rohtak, Bhiwani - 75 BOs\niv. Faridabad- 45 BOs\nv. Sonipat- 40 BOs.\nFurther, Divisional Heads to ensure that training of staff working in these BOs so identified be completed by 31.08.2026. Also, weighing scales are to provided to all the identified BOs.""}]}"
6,Financial Services,Digital transactions,20.07.2026,"AD (FS) to review digital transactions in SB slide till next review meeting.

Target for next review meeting:
Divisional Heads to ensure to reach 25% minimum digital transactions in SB for the month of August.

Digital Transactions in SB",AD (FS),10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=832427337#gid=832427337"",""text"":""Digital Transactions in SB""}]}"
7,Financial Services,PLI/RPLI,20.07.2026,"AD (FS) has allotted weekly targets of PLI/RPLI to Divisions and monitor the progress.

Weekly targets for PLI/RPLI",AD (FS),10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=805512941#gid=805512941"",""text"":""Weekly targets for PLI/RPLI""}]}"
8,Financial Services,Target to BOs for Aatmnirbhar BO Campaign,27.07.2026,"All Divisional Heads to ensure the following target to be achieved: For Double hand Bo's 3000 SB accounts and 150 RPLI policy with minimum Insured value As Rs 200000/-  and  For Single Hand Bo's 1500 SB accounts and 75 RPLI policy with minimum Insured value As Rs 200000/-.
Divisional Heads to issue further instructions to all the field units and ensure compliance.",All Divisional Heads,30.09.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=805512941#gid=805512941"",""text"":""All Divisional Heads to ensure the following target to be achieved: For Double hand Bo's 3000 SB accounts and 150 RPLI policy with minimum Insured value As Rs 200000/-  and  For Single Hand Bo's 1500 SB accounts and 75 RPLI policy with minimum Insured value As Rs 200000/-.\nDivisional Heads to issue further instructions to all the field units and ensure compliance.""}]}"
9,Mail Operations,Delivery Performance,20.07.2026,"Divisional Heads to ensure delivery performance (D+0) above 98% for the month of August. 
Further, divisional heads to ensure the return and redirect percentage should be less than 5%.

Performance upto 25th July, 2026

",All Divisional Heads,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=0#gid=0"",""text"":""Performance upto 25th July, 2026""}]}"
10,CCS,POPSK transactions,20.07.2026,"SPOs Sonipat to meet with RPO Delhi again to take follow up on increase in number of transactions upto 100 for all POPSKs under RPO Delhi viz. POPSK Sonipat, POPSK Rohtak, POPSK Narnaul & POPSK Faridabad.

",SPOs Sonipat,10.08.2026,"{""action"":[{""url"":""https://docs.google.com/spreadsheets/d/1deQ_I_wwIGVIps4jlWXB94lSm8qesiXcKUaEpAkehcs/edit?gid=0#gid=0"",""text"":""SPOs Sonipat to meet with RPO Delhi again to take follow up on increase in number of transactions upto 100 for all POPSKs under RPO Delhi viz. POPSK Sonipat, POPSK Rohtak, POPSK Narnaul & POPSK Faridabad.""}]}"
11,CCS,Aadhaar Kits,20.07.2026,"Funds have been allotted to divisions for aadhaar kits. Divisional Heads to get kits faulty/inactive Aadhaar Kits repaired and activated by 13.08.2026. After this, if kits are beyond repair, condemnation proposal be submitted to Circle Office. ",All Divisional Heads,13.08.2026,{}
